stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
length_ge_6,glaive,wrapped_single_batch,512,4863,4808,669,0.1391430948419301,0.1299931567093959,0.14917704351492697,669,5000,0.1338,11014,11014,608755,609926,0.01809266453663625,0.018057928338847663,0.9886901089862224,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
length_ge_6,glaive,wrapped_single_batch,1024,4863,4840,326,0.06735537190082645,0.060399568909040344,0.07399066634330442,326,5000,0.0652,5290,5290,609354,609926,0.008681324812834576,0.008673183304204116,0.9952704092124203,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
length_ge_6,glaive,wrapped_single_batch,2048,4863,4853,145,0.029878425716051926,0.025168754577239286,0.03459655376596759,145,5000,0.029,2555,2555,609654,609926,0.004190901724584764,0.00418903276790955,0.9979436561793131,0.999554044261107,1.0,1.0,0.999554044261107,980
length_ge_6,glaive,wrapped_single_batch,4096,4863,4857,73,0.015029853819229977,0.011788977318508292,0.018499658410697454,73,5000,0.0146,1437,1437,609779,609926,0.00235659148642377,0.002356023517607054,0.9987661937075879,0.9997589871558189,1.0,1.0,0.9997589871558189,490
length_ge_6,glaive,wrapped_single_batch,8192,4863,4861,40,0.008228759514503189,0.005898895790200138,0.010713588860852594,40,5000,0.008,788,788,609845,609926,0.0012921316072116685,0.0012919600082632976,0.9995887312358627,0.9998671970042268,1.0,1.0,0.9998671970042268,245
length_ge_10,glaive,bfd_split,256,3435,3371,1317,0.3906852566004153,0.3743327722201019,0.4079929035971717,1158,5000,0.2316,24239,24239,607843,609926,0.039877073520629504,0.039740886599357955,0.9813682678311499,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
length_ge_10,glaive,bfd_split,512,3435,3420,304,0.08888888888888889,0.08002248737646875,0.0977745575763193,303,5000,0.0606,5898,5898,609487,609926,0.009676990649513443,0.009670025544082398,0.9956331877729258,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
length_ge_10,glaive,bfd_split,1024,3435,3435,1,0.0002911208151382824,0.0,0.0008963812192448727,1,5000,0.0002,60,60,609925,609926,9.837275074804279e-05,9.83725894616724e-05,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
length_ge_10,glaive,bfd_split,2048,3435,3435,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
length_ge_10,glaive,bfd_split,4096,3435,3435,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
length_ge_10,glaive,bfd_split,8192,3435,3435,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
length_ge_10,glaive,wrapped_single_batch,256,3435,3347,1010,0.30176277263220797,0.2860980610534517,0.3175752563212439,900,5000,0.18,19425,19425,607572,609926,0.03197151942485829,0.03184812583821644,0.9743813682678312,0.996140515406787,1.0,1.0,0.996140515406787,7834
length_ge_10,glaive,wrapped_single_batch,512,3435,3389,528,0.1557981705517852,0.14509824078232816,0.16735674810064233,528,5000,0.1056,9842,9842,608755,609926,0.01616742367619157,0.016136383758029664,0.986608442503639,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
length_ge_10,glaive,wrapped_single_batch,1024,3435,3412,258,0.07561547479484174,0.06721924380331279,0.08434834533252811,258,5000,0.0516,4683,4683,609354,609926,0.007685187920322177,0.0076779806074835305,0.9933042212518195,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
length_ge_10,glaive,wrapped_single_batch,2048,3435,3425,119,0.034744525547445254,0.02877886067800734,0.04095295501419904,119,5000,0.0238,2308,2308,609654,609926,0.0037857538866307773,0.0037840656079589983,0.9970887918486172,0.999554044261107,1.0,1.0,0.999554044261107,980
length_ge_10,glaive,wrapped_single_batch,4096,3435,3430,60,0.01749271137026239,0.013261333954279466,0.022096098656564936,60,5000,0.012,1294,1294,609779,609926,0.0021220802946641322,0.0021215688460567345,0.9985443959243085,0.9997589871558189,1.0,1.0,0.9997589871558189,490
