split,family,corruption,seed,records,exact,copied_stale,value_token_nll,whole_target_nll
conflict,ticket,100,20260808,100,0.0,0.0,1.1888711923360824,0.745977138876915
conflict,ticket,100,20260809,100,0.0,0.0,0.7898924112319946,0.49511637091636657
conflict,ticket,100,20260810,100,0.0,0.0,0.8226508003473282,0.516562340259552
test,checksum,0,20260808,100,1.0,0.0,6.870220762721147e-05,0.008617164785973727
test,checksum,0,20260809,100,0.99,0.0,0.008247613794910649,0.005342086086711788
test,checksum,0,20260810,100,0.69,0.0,0.003712543388728591,0.1008867322653532
test,checksum,25,20260808,100,1.0,0.0,0.00014756879887499962,0.00022330376828904263
test,checksum,25,20260809,100,1.0,0.0,0.0001690978346960037,0.00021408210348454305
test,checksum,25,20260810,100,1.0,0.0,0.0005367310385372548,0.0003842368777259253
test,checksum,50,20260808,100,1.0,0.0,0.00020059931935975328,0.00022970378442551008
test,checksum,50,20260809,100,1.0,0.0,0.00020100294656003826,0.00021199350958340802
test,checksum,50,20260810,100,1.0,0.0,0.00017464941993239336,0.0001631489447026979
test,checksum,100,20260808,100,0.0,0.0,1.8049805027246475,1.1373342728614808
test,checksum,100,20260809,100,0.0,0.0,1.2008792543411255,0.7556846073269844
test,checksum,100,20260810,100,0.0,0.0,1.210898277759552,0.7662663513422012
test,error,0,20260808,100,0.99,0.0,5.38731562664907e-05,0.03834834272041917
test,error,0,20260809,100,1.0,0.0,5.857389097400301e-05,0.00010935398611763958
test,error,0,20260810,100,0.0,0.0,6.957547160254762e-05,0.3843939797580242
test,error,25,20260808,100,1.0,0.0,0.00014602168655983405,0.00021228538898867554
test,error,25,20260809,100,1.0,0.0,0.0002612895279162331,0.0002733306435402483
test,error,25,20260810,100,1.0,0.0,0.00011025107956811552,0.0001383145472209435
test,error,50,20260808,100,1.0,0.0,0.0002733632914168993,0.00032594086529570633
test,error,50,20260809,100,1.0,0.0,0.0001678174022526946,0.0002059596277831588
test,error,50,20260810,100,1.0,0.0,0.00017224786104634405,0.0001714960404933663
test,error,100,20260808,100,0.0,0.0,1.372965425848961,0.8222043669223785
test,error,100,20260809,100,0.0,0.0,1.0372039419412613,0.6209468394517899
test,error,100,20260810,100,0.0,0.0,1.156813775897026,0.6991279923915863
test,inventory,0,20260808,100,1.0,0.0,5.627614435070427e-05,0.0010928981335018761
test,inventory,0,20260809,100,1.0,0.0,5.4514726739398613e-05,5.839334789925488e-05
test,inventory,0,20260810,100,0.27,0.0,7.878098223045527e-05,0.10673998806625605
test,inventory,25,20260808,100,1.0,0.0,0.00019994454087282065,0.0002483144676079974
test,inventory,25,20260809,100,1.0,0.0,0.00016505483996297698,0.00018724503053817897
test,inventory,25,20260810,100,1.0,0.0,0.00011516141004904057,0.00011648388815956423
test,inventory,50,20260808,100,1.0,0.0,0.00014950920707633485,0.00023057575526763685
test,inventory,50,20260809,100,1.0,0.0,0.0001836425309375045,0.00020020205949549563
test,inventory,50,20260810,100,1.0,0.0,0.00016108638566947775,0.00017481245202361607
test,inventory,100,20260808,100,0.0,0.0,1.811937345266342,1.0837088018655776
test,inventory,100,20260809,100,0.0,0.0,1.174527920484543,0.7013091295957565
test,inventory,100,20260810,100,0.0,0.0,1.319360002875328,0.7974444949626922
test,order,0,20260808,100,1.0,0.0,8.556200436942163e-05,0.00515046293148771
test,order,0,20260809,100,0.98,0.0,0.0015240362835902488,0.0009968944085630939
test,order,0,20260810,100,0.0,0.0,0.00020792063032786244,0.24012711346149446
test,order,25,20260808,100,1.0,0.0,0.00034319781749218235,0.0005395824965671636
test,order,25,20260809,100,1.0,0.0,0.0002990953713742783,0.0003674557665362954
test,order,25,20260810,100,1.0,0.0,0.00017029228903993497,0.0001672540223080432
test,order,50,20260808,100,1.0,0.0,0.00024980383343063293,0.00036520246678264814
test,order,50,20260809,100,1.0,0.0,0.00029826777456037234,0.00034418036477291026
test,order,50,20260810,100,1.0,0.0,0.0002751384922885336,0.00026175215258263053
test,order,100,20260808,100,0.0,0.0,1.475402403473854,0.8850966584682465
test,order,100,20260809,100,0.0,0.0,0.9111030659079552,0.5470435690879821
test,order,100,20260810,100,0.0,0.0,1.0832670223712921,0.6595368647575378
test,route,0,20260808,100,1.0,0.0,0.0001187692803068785,9.35734551603673e-05
test,route,0,20260809,100,1.0,0.0,0.00010401987758086762,8.569708716095192e-05
test,route,0,20260810,100,0.99,0.0,0.001295548229245469,0.000906467327295104
test,route,25,20260808,100,1.0,0.0,0.0004916350927669555,0.00037627033729222605
test,route,25,20260809,100,1.0,0.0,0.0006494521533022635,0.0004900839371839538
test,route,25,20260810,100,1.0,0.0,0.0003240612284571398,0.00024039695112151093
test,route,50,20260808,100,1.0,0.0,0.0005798147330642678,0.00043219940445851537
test,route,50,20260809,100,1.0,0.0,0.0003886708403297234,0.0003022912518645171
test,route,50,20260810,100,1.0,0.0,0.0003014774026814848,0.00023666916829824912
test,route,100,20260808,100,0.0,0.0,1.2631110501289369,0.8537493503093719
test,route,100,20260809,100,0.0,0.0,0.8917286497354507,0.6025514835119248
test,route,100,20260810,100,0.0,0.0,1.0092324608564376,0.6819374412298203
test,ticket,0,20260808,100,1.0,0.0,5.463205541673233e-05,0.035579021349549295
test,ticket,0,20260809,100,1.0,0.0,7.500486603021273e-05,7.755356051347917e-05
test,ticket,0,20260810,100,0.0,0.0,0.00012700209187187282,0.4802830097079277
test,ticket,25,20260808,100,1.0,0.0,0.0003701040390296839,0.00043660924915457145
test,ticket,25,20260809,100,1.0,0.0,0.0002714821579866111,0.00029911549005191774
test,ticket,25,20260810,100,1.0,0.0,0.000170657370108529,0.00018817396805388852
test,ticket,50,20260808,100,1.0,0.0,0.001418651851126924,0.001020525976200588
test,ticket,50,20260809,100,1.0,0.0,0.0009706312615890056,0.0007499663982889615
test,ticket,50,20260810,100,1.0,0.0,0.0004913872567703947,0.0004103234596550465
test,ticket,100,20260808,100,0.0,0.0,1.5835700255632401,0.9869218969345093
test,ticket,100,20260809,100,0.0,0.0,0.9463274070620536,0.5899488028883934
test,ticket,100,20260810,100,0.0,0.0,1.1596288776397705,0.7340310657024384
