corpus,policy,max_length,conversations,edge_bearing_conversations,nominal_tokens,nominal_supervised_tokens,retained_tokens,unique_retained_tokens,effective_supervised_tokens,unique_effective_supervised_tokens,generated_examples,attention_groups,rows_with_tokens,rows_with_supervision,mean_sequence_length,median_sequence_length,p95_sequence_length,seconds
retool,keep_start,4096,2000,1160,4290596,3380027,3969682,3969682,3065889,3065889,2000,2000,2000,2000,1984.841,1685.5,4096.0,3.887
retool,bfd,4096,2000,1160,4290596,3380027,3969682,3969682,3065889,3065889,996,2000,2000,2000,3985.624497991968,4094.0,4096.0,7.722
retool,bfd_split,4096,2000,1160,4290596,3380027,4290596,4290596,3379845,3379845,1072,2184,2000,2000,4002.4216417910447,4095.0,4096.0,8.466
retool,wrapped,4096,2000,1160,4290596,3380027,4290596,2155863,3375060,1695714,1049,1049,1011,1011,4090.177311725453,4096.0,4096.0,7.87
retool,wrapped_single_batch,4096,2000,1160,4290596,3380027,4290596,4290596,3379199,3379199,1048,1048,2000,2000,4094.080152671755,4096.0,4096.0,8.473
retool,drop_overlength,4096,2000,1160,4290596,3380027,3322514,3322514,2485361,2485361,1842,1842,1842,1842,1803.7535287730727,1619.0,3337.95,3.255
retool,keep_end,4096,2000,1160,4290596,3380027,3969682,3969682,3117042,3117042,2000,2000,2000,2000,1984.841,1685.5,4096.0,3.871
retool,keep_start,8192,2000,1160,4290596,3380027,4241263,4241263,3331535,3331535,2000,2000,2000,2000,2120.6315,1685.5,5028.449999999999,4.154
retool,bfd,8192,2000,1160,4290596,3380027,4241263,4241263,3331535,3331535,527,2000,2000,2000,8047.937381404175,8188.0,8192.0,8.381
retool,bfd_split,8192,2000,1160,4290596,3380027,4290596,4290596,3380005,3380005,533,2022,2000,2000,8049.898686679175,8187.0,8192.0,8.425
retool,wrapped,8192,2000,1160,4290596,3380027,4290596,2155863,3375479,1695924,525,525,1011,1011,8172.563809523809,8192.0,8192.0,8.429
retool,wrapped_single_batch,8192,2000,1160,4290596,3380027,4290596,4290596,3379622,3379622,524,524,2000,2000,8188.160305343511,8192.0,8192.0,8.991
retool,drop_overlength,8192,2000,1160,4290596,3380027,4061039,4061039,3160443,3160443,1978,1978,1978,1978,2053.103640040445,1672.5,4603.799999999998,4.017
retool,keep_end,8192,2000,1160,4290596,3380027,4241263,4241263,3338381,3338381,2000,2000,2000,2000,2120.6315,1685.5,5028.449999999999,4.192
