stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
length_ge_10,glaive,wrapped_single_batch,1024,5000,3598,264,0.0733740967204002,264,0.0528,0.0080632732495417,0.0080708422362042,0.9990621813137988,5000,3412,258,0.0756154747948417,258,0.0516,0.0076779806074835,0.0076851879203221,0.9990621813137988,0.22413780744414968,-0.03852926420582006
length_ge_10,glaive,wrapped_single_batch,2048,5000,3611,122,0.033785654943229,122,0.0244,0.0039562176395169,0.0039579827246274,0.999554044261107,5000,3425,119,0.0347445255474452,119,0.0238,0.0037840656079589,0.0037857538866307,0.999554044261107,0.09588706042161985,-0.01721520315580002
length_ge_10,glaive,wrapped_single_batch,4096,5000,3616,62,0.017146017699115,62,0.0124,0.0021953482881529,0.0021958775228402,0.9997589871558188,5000,3430,60,0.0174927113702623,60,0.012,0.0021215688460567,0.0021220802946641,0.9997589871558188,0.034669367114729954,-0.0073779442096200305
length_ge_10,glaive,wrapped_single_batch,8192,5000,3620,33,0.0091160220994475,33,0.0066,0.00118047107354,0.0011806278644573,0.9998671970042268,5000,3433,32,0.0093212933294494,32,0.0064,0.0011755524440669,0.0011757085816887,0.9998671970042268,0.02052712300018994,-0.000491862947309997
length_ge_10,retool,bfd_split,256,2000,30,6,0.2,5,0.0025,2.04140381127133e-05,2.0493069184601568e-05,0.996143521930446,2000,14,3,0.2142857142857142,3,0.0015,1.242593624252114e-05,1.2474042112366172e-05,0.996143521930446,1.428571428571418,-0.0007988101870192161
length_ge_10,retool,bfd_split,512,2000,33,1,0.0303030303030303,1,0.0005,2.958556248219319e-06,2.96469873917292e-06,0.997928123059372,2000,14,0,0.0,0,0.0,0.0,0.0,0.997928123059372,-3.03030303030303,-0.0002958556248219319
length_ge_10,retool,bfd_split,1024,2000,33,1,0.0303030303030303,1,0.0005,2.958556248219319e-06,2.96122658743214e-06,0.9990982320555428,2000,14,0,0.0,0,0.0,0.0,0.0,0.9990982320555428,-3.03030303030303,-0.0002958556248219319
length_ge_10,retool,bfd_split,2048,2000,33,1,0.0303030303030303,1,0.0005,2.958556248219319e-06,2.9593573696284703e-06,0.999729292103288,2000,14,0,0.0,0,0.0,0.0,0.0,0.999729292103288,-3.03030303030303,-0.0002958556248219319
length_ge_10,retool,bfd_split,4096,2000,33,0,0.0,0,0.0,0.0,0.0,0.9999461542762824,2000,14,0,0.0,0,0.0,0.0,0.0,0.9999461542762824,0.0,0.0
length_ge_10,retool,bfd_split,8192,2000,33,0,0.0,0,0.0,0.0,0.0,0.999993491176254,2000,14,0,0.0,0,0.0,0.0,0.0,0.999993491176254,0.0,0.0
length_ge_10,retool,wrapped_single_batch,256,2000,33,8,0.2424242424242424,6,0.003,3.106484060630285e-05,3.118607782203561e-05,0.99611245708984,2000,14,4,0.2857142857142857,3,0.0015,1.568034811556239e-05,1.574154404350369e-05,0.99611245708984,4.32900432900433,-0.0015384492490740458
length_ge_10,retool,wrapped_single_batch,512,2000,33,4,0.1212121212121212,4,0.002,1.1834224992877276e-05,1.1857258761847256e-05,0.9980574119674192,2000,14,2,0.1428571428571428,2,0.001,5.917112496438638e-06,5.928629380923627e-06,0.9980574119674192,2.164502164502159,-0.0005917112496438638
length_ge_10,retool,wrapped_single_batch,1024,2000,33,3,0.0909090909090909,3,0.0015,8.875668744657956e-06,8.884250651955927e-06,0.9990340313849564,2000,14,1,0.0714285714285714,1,0.0005,2.958556248219319e-06,2.961416883985309e-06,0.9990340313849564,-1.94805194805195,-0.0005917112496438637
